formulation_id,generation,design_stage,mechanism_combination,structural_module_id,chemical_module_id,encapsulation_module_id,components,structural_module,chemical_module,encapsulation_module,expected_membrane_coverage,expected_protein_coverage,expected_nucleic_acid_coverage,design_rationale,initial_assay_risk
IBC-G1-01,G1A_non_encapsulation,Structural + Chemical,S1,C1,,trehalose; trolox,Trehalose,Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-02,G1A_non_encapsulation,Structural + Chemical,S1,C2,,trehalose; trolox; EDTA,Trehalose,Trolox + EDTA,,high,high,high,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-03,G1A_non_encapsulation,Structural + Chemical,S1,C3,,trehalose; trolox; glutathione,Trehalose,Trolox + Glutathione,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-04,G1A_non_encapsulation,Structural + Chemical,S1,C4,,trehalose; catalase; trolox,Trehalose,Catalase + Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-05,G1A_non_encapsulation,Structural + Chemical,S2,C1,,trehalose; dextran; trolox,Trehalose + Dextran,Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-06,G1A_non_encapsulation,Structural + Chemical,S2,C2,,trehalose; dextran; trolox; EDTA,Trehalose + Dextran,Trolox + EDTA,,high,high,high,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-07,G1A_non_encapsulation,Structural + Chemical,S2,C3,,trehalose; dextran; trolox; glutathione,Trehalose + Dextran,Trolox + Glutathione,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-08,G1A_non_encapsulation,Structural + Chemical,S2,C4,,trehalose; dextran; catalase; trolox,Trehalose + Dextran,Catalase + Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-09,G1A_non_encapsulation,Structural + Chemical,S3,C1,,trehalose; PEG; trolox,Trehalose + PEG,Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-10,G1A_non_encapsulation,Structural + Chemical,S3,C2,,trehalose; PEG; trolox; EDTA,Trehalose + PEG,Trolox + EDTA,,high,high,high,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-11,G1A_non_encapsulation,Structural + Chemical,S3,C3,,trehalose; PEG; trolox; glutathione,Trehalose + PEG,Trolox + Glutathione,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-12,G1A_non_encapsulation,Structural + Chemical,S3,C4,,trehalose; PEG; catalase; trolox,Trehalose + PEG,Catalase + Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-13,G1A_non_encapsulation,Structural + Chemical,S4,C1,,trehalose; glycerol; trolox,Trehalose + Glycerol,Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
